Timestamp,LDR Value
2023-06-10 12:52:57,0.13
2023-06-10 12:52:59,0.131
2023-06-10 12:53:01,0.131
2023-06-10 12:53:03,0.131
2023-06-10 12:53:05,0.129
2023-06-10 12:53:07,0.1349
2023-06-10 12:53:09,0.1261
2023-06-10 12:53:11,0.129
2023-06-10 12:53:13,0.131
2023-06-10 12:53:15,0.13
2023-06-10 12:53:17,0.1329
2023-06-10 12:53:19,0.1281
2023-06-10 12:53:21,0.132
2023-06-10 12:53:23,0.131
